areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
N92000002,Northern Ireland,nation,2022-01-25,4849,7
N92000002,Northern Ireland,nation,2022-01-24,5338,5
N92000002,Northern Ireland,nation,2022-01-23,4400,2
N92000002,Northern Ireland,nation,2022-01-22,3266,7
N92000002,Northern Ireland,nation,2022-01-21,3548,4
N92000002,Northern Ireland,nation,2022-01-20,3848,4
N92000002,Northern Ireland,nation,2022-01-19,4037,4
N92000002,Northern Ireland,nation,2022-01-18,4398,6
N92000002,Northern Ireland,nation,2022-01-17,4607,3
N92000002,Northern Ireland,nation,2022-01-16,3620,6
N92000002,Northern Ireland,nation,2022-01-15,2842,2
N92000002,Northern Ireland,nation,2022-01-14,2692,2
N92000002,Northern Ireland,nation,2022-01-13,2890,8
N92000002,Northern Ireland,nation,2022-01-12,3130,11
N92000002,Northern Ireland,nation,2022-01-11,3232,0
N92000002,Northern Ireland,nation,2022-01-10,3614,0
N92000002,Northern Ireland,nation,2022-01-09,2838,7
N92000002,Northern Ireland,nation,2022-01-08,2637,2
N92000002,Northern Ireland,nation,2022-01-07,2708,3
N92000002,Northern Ireland,nation,2022-01-06,3578,2
N92000002,Northern Ireland,nation,2022-01-05,6819,3
N92000002,Northern Ireland,nation,2022-01-04,8470,5
N92000002,Northern Ireland,nation,2022-01-03,7309,3
N92000002,Northern Ireland,nation,2022-01-02,6912,4
N92000002,Northern Ireland,nation,2022-01-01,5385,4
N92000002,Northern Ireland,nation,2021-12-31,7996,3
N92000002,Northern Ireland,nation,2021-12-30,8740,0
N92000002,Northern Ireland,nation,2021-12-29,8976,4
N92000002,Northern Ireland,nation,2021-12-28,8410,4
N92000002,Northern Ireland,nation,2021-12-27,7310,3
N92000002,Northern Ireland,nation,2021-12-26,3518,2
N92000002,Northern Ireland,nation,2021-12-25,2662,4
N92000002,Northern Ireland,nation,2021-12-24,4290,0
N92000002,Northern Ireland,nation,2021-12-23,4318,3
N92000002,Northern Ireland,nation,2021-12-22,4372,1
N92000002,Northern Ireland,nation,2021-12-21,3828,2
N92000002,Northern Ireland,nation,2021-12-20,2710,4
N92000002,Northern Ireland,nation,2021-12-19,2101,1
N92000002,Northern Ireland,nation,2021-12-18,1975,2
N92000002,Northern Ireland,nation,2021-12-17,1835,5
N92000002,Northern Ireland,nation,2021-12-16,2006,3
N92000002,Northern Ireland,nation,2021-12-15,2224,6
N92000002,Northern Ireland,nation,2021-12-14,2205,5
N92000002,Northern Ireland,nation,2021-12-13,1932,3
N92000002,Northern Ireland,nation,2021-12-12,1434,3
N92000002,Northern Ireland,nation,2021-12-11,1439,3
N92000002,Northern Ireland,nation,2021-12-10,1464,2
N92000002,Northern Ireland,nation,2021-12-09,1681,4
N92000002,Northern Ireland,nation,2021-12-08,1886,3
N92000002,Northern Ireland,nation,2021-12-07,1801,5
N92000002,Northern Ireland,nation,2021-12-06,1932,5
N92000002,Northern Ireland,nation,2021-12-05,1527,2
N92000002,Northern Ireland,nation,2021-12-04,1399,7
N92000002,Northern Ireland,nation,2021-12-03,1581,6
N92000002,Northern Ireland,nation,2021-12-02,1889,4
N92000002,Northern Ireland,nation,2021-12-01,1992,2
N92000002,Northern Ireland,nation,2021-11-30,1968,2
N92000002,Northern Ireland,nation,2021-11-29,2018,2
N92000002,Northern Ireland,nation,2021-11-28,1496,5
N92000002,Northern Ireland,nation,2021-11-27,1355,3
N92000002,Northern Ireland,nation,2021-11-26,1425,3
N92000002,Northern Ireland,nation,2021-11-25,1619,9
N92000002,Northern Ireland,nation,2021-11-24,1644,4
N92000002,Northern Ireland,nation,2021-11-23,1774,7
N92000002,Northern Ireland,nation,2021-11-22,1866,4
N92000002,Northern Ireland,nation,2021-11-21,1470,3
N92000002,Northern Ireland,nation,2021-11-20,1415,9
N92000002,Northern Ireland,nation,2021-11-19,1642,2
N92000002,Northern Ireland,nation,2021-11-18,1681,9
N92000002,Northern Ireland,nation,2021-11-17,1746,5
N92000002,Northern Ireland,nation,2021-11-16,1755,12
N92000002,Northern Ireland,nation,2021-11-15,1876,6
N92000002,Northern Ireland,nation,2021-11-14,1469,3
N92000002,Northern Ireland,nation,2021-11-13,1345,4
N92000002,Northern Ireland,nation,2021-11-12,1303,4
N92000002,Northern Ireland,nation,2021-11-11,1482,5
N92000002,Northern Ireland,nation,2021-11-10,1470,6
N92000002,Northern Ireland,nation,2021-11-09,1593,8
N92000002,Northern Ireland,nation,2021-11-08,1511,7
N92000002,Northern Ireland,nation,2021-11-07,1028,7
N92000002,Northern Ireland,nation,2021-11-06,998,6
N92000002,Northern Ireland,nation,2021-11-05,1092,4
N92000002,Northern Ireland,nation,2021-11-04,1187,6
N92000002,Northern Ireland,nation,2021-11-03,1182,12
N92000002,Northern Ireland,nation,2021-11-02,1160,8
N92000002,Northern Ireland,nation,2021-11-01,1249,4
N92000002,Northern Ireland,nation,2021-10-31,960,6
N92000002,Northern Ireland,nation,2021-10-30,960,8
N92000002,Northern Ireland,nation,2021-10-29,1073,10
N92000002,Northern Ireland,nation,2021-10-28,1174,6
N92000002,Northern Ireland,nation,2021-10-27,1242,7
N92000002,Northern Ireland,nation,2021-10-26,1263,4
N92000002,Northern Ireland,nation,2021-10-25,1229,5
N92000002,Northern Ireland,nation,2021-10-24,1052,3
N92000002,Northern Ireland,nation,2021-10-23,1009,6
N92000002,Northern Ireland,nation,2021-10-22,1052,11
N92000002,Northern Ireland,nation,2021-10-21,1137,7
N92000002,Northern Ireland,nation,2021-10-20,1396,3
N92000002,Northern Ireland,nation,2021-10-19,1462,5
N92000002,Northern Ireland,nation,2021-10-18,1450,9
N92000002,Northern Ireland,nation,2021-10-17,1065,2
N92000002,Northern Ireland,nation,2021-10-16,1001,6
N92000002,Northern Ireland,nation,2021-10-15,1096,4
N92000002,Northern Ireland,nation,2021-10-14,1252,5
N92000002,Northern Ireland,nation,2021-10-13,1296,5
N92000002,Northern Ireland,nation,2021-10-12,1403,3
N92000002,Northern Ireland,nation,2021-10-11,1444,5
N92000002,Northern Ireland,nation,2021-10-10,1154,2
N92000002,Northern Ireland,nation,2021-10-09,1007,5
N92000002,Northern Ireland,nation,2021-10-08,1239,4
N92000002,Northern Ireland,nation,2021-10-07,1275,3
N92000002,Northern Ireland,nation,2021-10-06,1277,2
N92000002,Northern Ireland,nation,2021-10-05,1289,3
N92000002,Northern Ireland,nation,2021-10-04,1326,3
N92000002,Northern Ireland,nation,2021-10-03,1044,1
N92000002,Northern Ireland,nation,2021-10-02,899,4
N92000002,Northern Ireland,nation,2021-10-01,915,2
N92000002,Northern Ireland,nation,2021-09-30,1022,5
N92000002,Northern Ireland,nation,2021-09-29,1162,3
N92000002,Northern Ireland,nation,2021-09-28,1115,3
N92000002,Northern Ireland,nation,2021-09-27,1328,4
N92000002,Northern Ireland,nation,2021-09-26,913,4
N92000002,Northern Ireland,nation,2021-09-25,823,5
N92000002,Northern Ireland,nation,2021-09-24,936,6
N92000002,Northern Ireland,nation,2021-09-23,1080,8
N92000002,Northern Ireland,nation,2021-09-22,1104,9
N92000002,Northern Ireland,nation,2021-09-21,1211,4
N92000002,Northern Ireland,nation,2021-09-20,1259,4
N92000002,Northern Ireland,nation,2021-09-19,939,5
N92000002,Northern Ireland,nation,2021-09-18,866,4
N92000002,Northern Ireland,nation,2021-09-17,987,10
N92000002,Northern Ireland,nation,2021-09-16,1064,7
N92000002,Northern Ireland,nation,2021-09-15,1192,3
N92000002,Northern Ireland,nation,2021-09-14,1283,10
N92000002,Northern Ireland,nation,2021-09-13,1377,10
N92000002,Northern Ireland,nation,2021-09-12,920,8
N92000002,Northern Ireland,nation,2021-09-11,1003,6
N92000002,Northern Ireland,nation,2021-09-10,1372,1
N92000002,Northern Ireland,nation,2021-09-09,1654,6
N92000002,Northern Ireland,nation,2021-09-08,1550,10
N92000002,Northern Ireland,nation,2021-09-07,1661,5
N92000002,Northern Ireland,nation,2021-09-06,1756,4
N92000002,Northern Ireland,nation,2021-09-05,1299,13
N92000002,Northern Ireland,nation,2021-09-04,1211,7
N92000002,Northern Ireland,nation,2021-09-03,1376,6
N92000002,Northern Ireland,nation,2021-09-02,1389,8
N92000002,Northern Ireland,nation,2021-09-01,1497,13
N92000002,Northern Ireland,nation,2021-08-31,1594,7
N92000002,Northern Ireland,nation,2021-08-30,1423,7
N92000002,Northern Ireland,nation,2021-08-29,1078,8
N92000002,Northern Ireland,nation,2021-08-28,1166,10
N92000002,Northern Ireland,nation,2021-08-27,1457,5
N92000002,Northern Ireland,nation,2021-08-26,1653,5
N92000002,Northern Ireland,nation,2021-08-25,1712,4
N92000002,Northern Ireland,nation,2021-08-24,1658,5
N92000002,Northern Ireland,nation,2021-08-23,1771,8
N92000002,Northern Ireland,nation,2021-08-22,1284,10
N92000002,Northern Ireland,nation,2021-08-21,1483,12
N92000002,Northern Ireland,nation,2021-08-20,1603,5
N92000002,Northern Ireland,nation,2021-08-19,1817,7
N92000002,Northern Ireland,nation,2021-08-18,1791,11
N92000002,Northern Ireland,nation,2021-08-17,1688,7
N92000002,Northern Ireland,nation,2021-08-16,1697,4
N92000002,Northern Ireland,nation,2021-08-15,1312,2
N92000002,Northern Ireland,nation,2021-08-14,1230,4
N92000002,Northern Ireland,nation,2021-08-13,1326,6
N92000002,Northern Ireland,nation,2021-08-12,1372,6
N92000002,Northern Ireland,nation,2021-08-11,1443,5
N92000002,Northern Ireland,nation,2021-08-10,1428,3
N92000002,Northern Ireland,nation,2021-08-09,1408,3
N92000002,Northern Ireland,nation,2021-08-08,1092,8
N92000002,Northern Ireland,nation,2021-08-07,1056,3
N92000002,Northern Ireland,nation,2021-08-06,1211,5
N92000002,Northern Ireland,nation,2021-08-05,1402,4
N92000002,Northern Ireland,nation,2021-08-04,1340,3
N92000002,Northern Ireland,nation,2021-08-03,1294,1
N92000002,Northern Ireland,nation,2021-08-02,1169,3
N92000002,Northern Ireland,nation,2021-08-01,868,7
N92000002,Northern Ireland,nation,2021-07-31,871,5
N92000002,Northern Ireland,nation,2021-07-30,1016,5
N92000002,Northern Ireland,nation,2021-07-29,1199,6
N92000002,Northern Ireland,nation,2021-07-28,1327,3
N92000002,Northern Ireland,nation,2021-07-27,1417,2
N92000002,Northern Ireland,nation,2021-07-26,1302,0
N92000002,Northern Ireland,nation,2021-07-25,1050,1
N92000002,Northern Ireland,nation,2021-07-24,1036,2
N92000002,Northern Ireland,nation,2021-07-23,1262,2
N92000002,Northern Ireland,nation,2021-07-22,1351,2
N92000002,Northern Ireland,nation,2021-07-21,1488,1
N92000002,Northern Ireland,nation,2021-07-20,1495,1
N92000002,Northern Ireland,nation,2021-07-19,1692,1
N92000002,Northern Ireland,nation,2021-07-18,1006,1
N92000002,Northern Ireland,nation,2021-07-17,1149,0
N92000002,Northern Ireland,nation,2021-07-16,1406,3
N92000002,Northern Ireland,nation,2021-07-15,1322,0
N92000002,Northern Ireland,nation,2021-07-14,1170,0
N92000002,Northern Ireland,nation,2021-07-13,902,0
N92000002,Northern Ireland,nation,2021-07-12,523,0
N92000002,Northern Ireland,nation,2021-07-11,478,1
N92000002,Northern Ireland,nation,2021-07-10,488,1
N92000002,Northern Ireland,nation,2021-07-09,578,1
N92000002,Northern Ireland,nation,2021-07-08,629,0
N92000002,Northern Ireland,nation,2021-07-07,624,0
N92000002,Northern Ireland,nation,2021-07-06,556,0
N92000002,Northern Ireland,nation,2021-07-05,517,0
N92000002,Northern Ireland,nation,2021-07-04,383,0
N92000002,Northern Ireland,nation,2021-07-03,349,0
N92000002,Northern Ireland,nation,2021-07-02,379,0
N92000002,Northern Ireland,nation,2021-07-01,419,1
N92000002,Northern Ireland,nation,2021-06-30,437,0
N92000002,Northern Ireland,nation,2021-06-29,409,0
N92000002,Northern Ireland,nation,2021-06-28,328,0
N92000002,Northern Ireland,nation,2021-06-27,207,0
N92000002,Northern Ireland,nation,2021-06-26,247,0
N92000002,Northern Ireland,nation,2021-06-25,251,0
N92000002,Northern Ireland,nation,2021-06-24,241,0
N92000002,Northern Ireland,nation,2021-06-23,200,0
N92000002,Northern Ireland,nation,2021-06-22,207,0
N92000002,Northern Ireland,nation,2021-06-21,198,0
N92000002,Northern Ireland,nation,2021-06-20,132,0
N92000002,Northern Ireland,nation,2021-06-19,120,0
N92000002,Northern Ireland,nation,2021-06-18,135,0
N92000002,Northern Ireland,nation,2021-06-17,185,0
N92000002,Northern Ireland,nation,2021-06-16,173,0
N92000002,Northern Ireland,nation,2021-06-15,165,0
N92000002,Northern Ireland,nation,2021-06-14,120,0
N92000002,Northern Ireland,nation,2021-06-13,86,0
N92000002,Northern Ireland,nation,2021-06-12,62,0
N92000002,Northern Ireland,nation,2021-06-11,102,0
N92000002,Northern Ireland,nation,2021-06-10,130,0
N92000002,Northern Ireland,nation,2021-06-09,97,0
N92000002,Northern Ireland,nation,2021-06-08,107,1
N92000002,Northern Ireland,nation,2021-06-07,88,0
N92000002,Northern Ireland,nation,2021-06-06,50,0
N92000002,Northern Ireland,nation,2021-06-05,75,0
N92000002,Northern Ireland,nation,2021-06-04,77,0
N92000002,Northern Ireland,nation,2021-06-03,82,0
N92000002,Northern Ireland,nation,2021-06-02,84,0
N92000002,Northern Ireland,nation,2021-06-01,71,1
